logical,communication,leadership,creativity,technical,recommendation
95,60,70,55,98,AI Engineer
92,65,72,58,96,Machine Learning Engineer
90,68,75,60,94,Software Engineer
70,95,90,80,60,Marketing Manager
60,92,88,85,55,HR Manager
85,78,82,70,80,Business Analyst
50,98,85,90,45,Content Creator
65,90,80,95,60,UI UX Designer
88,75,80,72,92,Cloud Engineer
55,96,91,88,50,Public Relations
78,75,80,72,85,Product Manager
58,97,89,92,52,Digital Marketer
96,55,65,50,99,Research Scientist
72,88,87,84,70,Entrepreneur
82,76,79,68,88,Cybersecurity Analyst